Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_NC_00026,0,0,0,0,0,0,0,0,0,0,0,14
PCA_NC_00021,1777,1824,1468,1702,1212,1594,7507,7087,7119,2924,2476,3255
PCA_NC_00020,973,899,796,484,398,576,3033,2972,2955,1122,1321,1448
PCA_NC_00023,3005,2777,2483,169,108,187,4812,4964,4838,1331,2747,3447
PCA_NC_00022,6097,5651,6023,362,318,399,3601,3684,3556,2701,3649,4262
PCA_NC_00119,0,0,0,0,0,0,0,0,0,0,0,2
PCA_NC_00118,816,651,465,137,134,205,2426,2274,2303,6836,9994,10946
PCA_NC_00111,4,1,4,0,0,0,0,0,0,0,0,0
PCA_NC_00110,44,38,34,4,0,10,14,16,6,236,322,342
PCA_NC_00113,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00112,0,0,0,0,0,0,2,0,4,0,18,2
PCA_NC_00115,585,568,464,143,112,157,2530,2607,2380,758,1304,1379
PCA_NC_00114,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00117,5561,5189,5302,240,220,253,4508,4239,3997,2935,4278,4873
PCA_NC_00116,151,196,134,6,6,22,2966,2955,2936,162,275,261
PCA_NC_00098,0,0,0,0,0,0,0,2,0,0,0,0
PCA_NC_00099,1747,1702,1676,452,415,596,3407,3130,2706,1612,2237,2539
PCA_NC_00094,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00095,0,0,0,0,0,0,0,0,2,0,0,0
PCA_NC_00096,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00097,0,0,0,0,0,0,2,0,0,0,0,0
PCA_NC_00090,119,91,129,12,12,14,243,249,252,275,647,770
PCA_NC_00091,3662,3715,3464,612,564,786,4178,4111,4090,6213,7290,7943
PCA_NC_00092,4,6,2,77,70,83,92,78,83,0,16,0
PCA_NC_00093,29,24,38,30,50,50,565,583,484,718,922,1115
PCA_NC_00182,3319,3257,3047,226,226,294,2340,2190,2105,1348,1795,2245
PCA_NC_00191,4444,4038,3652,151,133,155,1535,1454,1421,5298,7317,7900
PCA_NC_00190,0,0,0,0,0,0,11,10,12,24,54,74
PCA_NC_00193,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00192,0,0,0,30,15,29,134,96,138,210,644,990
PCA_NC_00195,2048,1914,1847,290,211,265,2532,2527,2591,1177,2240,2768
PCA_NC_00194,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00197,1400,1230,1492,61,87,79,806,783,797,4386,6599,7130
PCA_NC_00196,3724,3597,3592,108,90,131,817,869,819,580,842,878
PCA_NC_00199,236,216,207,14,16,19,263,203,214,62,256,303
PCA_NC_00198,186,121,155,25,14,36,186,260,208,32,199,179
PCA_NC_00014,272,227,153,108,89,96,1256,1167,1176,1932,2897,3344
PCA_NC_00015,3179,3154,2952,492,444,616,4279,4034,4212,8163,9377,10095
PCA_NC_00016,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00017,2230,2635,1676,732,727,1097,7286,7031,7085,58,98,131
PCA_NC_00010,1915,1900,1673,369,332,425,3901,4084,3760,281,653,871
PCA_NC_00011,1282,1120,1198,156,140,206,1462,1504,1520,2234,2584,2897
PCA_NC_00012,2,0,3,0,0,0,0,2,0,2,0,2
PCA_NC_00013,3651,3716,3492,241,259,359,2646,2582,2602,3269,4266,4985
PCA_NC_00018,12267,11111,11329,958,781,1130,471,368,423,142,61,86
PCA_NC_00019,4,0,2,0,2,0,1478,1626,1525,50,36,134
PCA_NC_00205,2310,2051,2042,182,208,210,2034,2020,1834,1899,2244,2563
PCA_NC_00204,8355,7526,7986,104,124,138,1645,1602,1406,831,1203,1283
PCA_NC_00207,579,578,464,59,28,56,862,877,827,962,1853,2209
PCA_NC_00206,11,3,4,2,2,0,19,13,11,16,20,1
PCA_NC_00201,4,0,2,0,0,4,3,10,2,4,24,28
