"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.pcontig_077.67" -4.187443783622 -3.766355909192 7.356083779318 -1.104316934262 1.702032847758 2
"evm.model.pcontig_080.46" -4.318648815993 -2.972645687828 4.920481902497 2.065536517817 0.305276083507 2
"evm.model.pcontig_080.57" -3.72566023164 -2.89492260232 4.59976283441 2.15657749425 -0.1357574947 2
"evm.model.pcontig_081.24" -4.469241398396 -2.271940853606 4.951846770284 0.956340549204 0.832994932514 2
"evm.model.pcontig_081.16" -1.9255913324022 -2.3595145647362 2.6954254600228 1.1570452175828 0.4326352195328 2
"evm.model.pcontig_083.37" -2.863006776564 -2.782092493454 3.165915275416 1.584136757156 0.895047237446 2
"evm.model.pcontig_084.14" -3.362012736992 -1.501972550692 4.181044947598 0.346405820918 0.336534519168 2
"evm.model.pcontig_084.39" -1.9513290046546 -2.3754601380346 3.3738388308954 -0.4287605362716 1.3817108480654 2
"evm.model.pcontig_086.10" -3.839406401202 -3.015782554172 4.408118583308 1.101893592898 1.345176779168 2
"evm.model.pcontig_089.21" -2.938516334224 -1.679901430544 3.265509504716 0.572013960146 0.780894299906 2
"evm.model.pcontig_091.40" -1.706886826022 -4.586083161382 4.638264407088 1.282086414788 0.372619165528 2
"evm.model.pcontig_092.39" -2.791270518492 -2.151766246952 3.743784693698 1.506250410198 -0.306998338452 2
"evm.model.pcontig_060.46" -3.4613832993448 -0.8902062558188 3.0111435347512 1.1395545092512 0.2008915111612 2
"evm.model.pcontig_062.109" -3.7511708793556 -2.8971140768256 6.2641547255344 -0.8185357347076 1.2026659653544 2
"evm.model.pcontig_062.79" -2.989252211744 -2.155359538954 3.237791084086 -0.640999788644001 2.547820455256 2
"evm.model.pcontig_065.36" -2.494034951825 -2.227653929475 3.205935928665 0.23930429393 1.276448658705 2
"evm.model.pcontig_066.92" -3.346919656664 -2.023316951364 2.637218907976 0.798265447876 1.934752252176 2
"evm.model.pcontig_067.15" -3.687452411034 -2.800960779559 4.672340836836 -1.265166396649 3.081238750406 2
"evm.model.pcontig_069.28" -2.7623710235552 -4.5985605297092 5.3401919295248 1.0599107465148 0.9608288772248 2
"evm.model.pcontig_070.65" -1.594356842666 -2.210597067097 3.130946334421 0.068142238551 0.605865336791 2
"evm.model.pcontig_070.32" -4.1672961659652 -2.6429023938462 3.8880231558138 2.1037411931238 0.8184342108738 2
"evm.model.pcontig_070.73" -2.21285381555516 -2.35854898390716 4.11789608798484 -1.44781654762736 1.90132325910484 2
"evm.model.pcontig_072.68" -3.0333093274438 -2.6885143322338 5.7675455256762 -0.6205316802648 0.5748098142662 2
"evm.model.pcontig_049.139" -2.3266401496636 -3.0467656592626 4.5392831063754 0.7861815286454 0.0479411739054001 2
"evm.model.pcontig_049.63" -3.6384562524486 -3.9826251104156 4.6013659531614 1.5861867207914 1.4335286889114 2
